StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8,Q43_1,Q43_2,Q43_3,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q18_1,Q18_2,Q18_3,Q18_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21,Q22,Q23,Q24,Q25
2020-08-24 23:20:06,2020-08-24 23:24:24,IP Address,210.6.218.56,100,257,True,2020-08-24 23:24:24,R_zSbPdnXCYRtJUEp,,,,,22.4333038330078125,114.033294677734375,anonymous,EN,同意,同意,同意,不同意,同意,同意,同意,中立,同意,同意,同意,同意,同意,同意,中立,不同意,同意,中立,中立,同意,同意,中立,同意,同意,同意,中立,不同意,中立,1-3次,不同意,不同意,同意,同意,同意,沒有,,,,從不,從不,每日1小時內,每日1小時內,沒有,,,,,,,,,,,,,,,,,,,,,,,,,中立,中立,中立,中立,不信任,中立,中立,不信任,中立,中立,女,20,文學院,Year 4,學士
2020-08-24 23:21:00,2020-08-24 23:25:31,IP Address,182.239.85.103,100,271,True,2020-08-24 23:25:32,R_2Bfy1Ru0V8JEjwl,,,,,22.2794952392578125,114.14599609375,anonymous,EN,同意,同意,中立,中立,同意,同意,中立,同意,同意,同意,同意,非常同意,非常同意,同意,非常同意,同意,同意,同意,不同意,非常同意,非常同意,中立,非常同意,同意,同意,非常同意,同意,同意,7次以上,不同意,不同意,不同意,中立,同意,有,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,從不,從不,每日1小時內,每日3-4小時,有,每日1-2小時,每日3-4小時,每日1-2小時,每日1小時內,每日1小時內,有,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,有,每10至30個帖子會表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,沒有,,,,,從不,從不,從不,從不,中立,中立,中立,信任,中立,中立,信任,不信任,信任,中立,男,19,理學院,Year 3,學士
2020-08-24 23:23:01,2020-08-24 23:27:04,IP Address,182.239.90.106,100,243,True,2020-08-24 23:27:04,R_BMu0KWJZ21IQ15T,,,,,22.2794952392578125,114.14599609375,anonymous,EN,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,中立,同意,同意,非常同意,非常同意,1-3次,非常同意,非常同意,非常同意,非常同意,非常同意,沒有,,,,從不,從不,從不,每日3-4小時,沒有,,,,,,,,,,,,,,,,,,,,,,,,,不信任,非常不信任,中立,信任,信任,中立,中立,非常不信任,非常信任,中立,不透露,23,醫學院,Year 2,學士
2020-08-24 23:27:30,2020-08-24 23:28:58,IP Address,124.244.89.54,100,87,True,2020-08-24 23:28:58,R_C9saXOaNHLV0YDv,,,,,22.266693115234375,114.233306884765625,anonymous,EN,同意,中立,中立,中立,中立,中立,中立,中立,中立,同意,不同意,中立,同意,非常同意,同意,中立,同意,不同意,同意,不同意,中立,同意,中立,同意,中立,同意,同意,同意,6-7次,同意,中立,不同意,不同意,中立,有,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,每日3-4小時,每日1小時內,每日1小時內,從不,沒有,,,,,,,,,,,,,,,,,,,,,,,,,中立,信任,中立,非常信任,信任,信任,不信任,信任,信任,信任,男,20,商學院,Year 3,學士
2020-08-24 23:22:56,2020-08-24 23:30:23,IP Address,137.189.240.37,100,446,True,2020-08-24 23:30:23,R_1mgxeOKQY7NidhM,,,,,22.2794952392578125,114.14599609375,anonymous,EN,非常同意,非常同意,非常同意,非常不同意,中立,非常同意,非常同意,同意,不同意,中立,同意,非常不同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,不同意,非常同意,同意,非常同意,非常不同意,不同意,6-7次,非常不同意,非常不同意,非常同意,非常同意,非常同意,沒有,,,,從不,從不,每日1小時內,每日1小時內,有,每日1小時內,從不,從不,從不,從不,沒有,,,,,沒有,,,,,有,從不,從不,從不,從不,從不,從不,從不,從不,中立,中立,中立,中立,中立,中立,不信任,中立,中立,不信任,男,24,醫學院,Year 6,學士
2020-08-24 23:19:02,2020-08-24 23:32:15,IP Address,113.255.233.138,100,792,True,2020-08-24 23:32:15,R_2uqWD9dnCpMmACu,,,,,22.2794952392578125,114.14599609375,anonymous,EN,非常同意,同意,同意,中立,同意,同意,同意,同意,不同意,同意,同意,不同意,同意,非常同意,同意,同意,同意,中立,同意,中立,中立,同意,非常不同意,非常同意,非常同意,同意,同意,中立,1-3次,同意,中立,同意,同意,非常同意,有,每5至10個帖子會表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,從不,從不,從不,每日1小時內,每日4小時以上,沒有,,,,,,,,,,,,,,,,,,,,,,,,,中立,中立,中立,信任,中立,中立,中立,不信任,信任,信任,女,22,商學院,Year 4,學士
2020-08-24 23:31:04,2020-08-24 23:34:18,IP Address,14.0.236.77,100,194,True,2020-08-24 23:34:18,R_3R3DOh3YtDpBZBd,,,,,22.2794952392578125,114.14599609375,anonymous,EN,同意,同意,同意,中立,同意,同意,中立,同意,同意,同意,同意,同意,非常同意,同意,同意,不同意,同意,中立,同意,同意,同意,同意,同意,同意,同意,中立,同意,中立,1-3次,非常同意,非常同意,非常同意,非常同意,同意,有,從不,每30個以上帖子表達反應／留言／分享一次,從不,每日1小時內,每日1-2小時,每日1小時內,每日1小時內,有,每日1小時內,每日1小時內,從不,每日1小時內,從不,有,從不,每30個以上帖子表達反應／留言／分享一次,從不,從不,有,從不,每30個以上帖子表達反應／留言／分享一次,從不,從不,沒有,,,,,從不,從不,從不,從不,信任,中立,信任,信任,不信任,信任,信任,中立,信任,中立,女,20,文學院,Year 1,學士
2020-08-24 23:29:44,2020-08-24 23:35:28,IP Address,119.247.40.176,100,344,True,2020-08-24 23:35:29,R_1pRPdz4SOlselHj,,,,,22.2794952392578125,114.14599609375,anonymous,EN,非常同意,非常同意,非常同意,同意,中立,同意,同意,同意,同意,同意,非常同意,同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,同意,同意,同意,同意,非常同意,非常同意,同意,同意,非常同意,1-3次,非常同意,同意,同意,非常同意,非常同意,有,每30個以上帖子表達反應／留言／分享一次,從不,從不,每日1小時內,從不,每日1小時內,每日3-4小時,有,每日1-2小時,每日1小時內,每日1小時內,從不,從不,有,幾乎每個帖子都會表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,從不,從不,有,幾乎每個帖子都會表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,從不,從不,沒有,,,,,從不,從不,從不,從不,信任,中立,信任,信任,中立,信任,信任,不信任,非常信任,中立,男,19,社會科學院,Year 3,學士
2020-08-24 23:31:46,2020-08-24 23:35:43,IP Address,137.189.134.49,100,237,True,2020-08-24 23:35:44,R_ZxiodejVMoZfiq5,,,,,22.38330078125,114.18328857421875,anonymous,EN,同意,同意,同意,中立,同意,非常同意,同意,非常同意,同意,同意,非常同意,中立,同意,同意,同意,中立,同意,不同意,同意,同意,同意,中立,同意,同意,同意,同意,中立,同意,1-3次,同意,同意,非常同意,非常同意,同意,有,從不,每30個以上帖子表達反應／留言／分享一次,從不,從不,每日1小時內,每日1-2小時,每日1-2小時,沒有,,,,,,,,,,,,,,,,,,,,,,,,,中立,中立,信任,信任,中立,信任,中立,中立,中立,中立,男,22,理學院,Year 4,學士
2020-08-24 23:18:46,2020-08-24 23:38:23,IP Address,211.253.26.240,100,1177,True,2020-08-24 23:38:23,R_BYalEadkAu5V6iR,,,,,36.6352996826171875,127.467803955078125,anonymous,EN,非常同意,非常同意,同意,中立,不同意,同意,同意,不同意,不同意,不同意,中立,不同意,中立,同意,同意,中立,同意,不同意,不同意,同意,中立,同意,中立,同意,同意,不同意,同意,同意,1-3次,不同意,中立,同意,中立,同意,有,每30個以上帖子表達反應／留言／分享一次,每10至30個帖子會表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,從不,每日1小時內,每日1小時內,每日1小時內,有,每日1小時內,每日1小時內,每日1小時內,從不,每日1小時內,有,每10至30個帖子會表達反應／留言／分享一次,從不,從不,從不,有,每5至10個帖子會表達反應／留言／分享一次,每5至10個帖子會表達反應／留言／分享一次,從不,每30個以上帖子表達反應／留言／分享一次,沒有,,,,,每30個以上帖子表達反應／留言／分享一次,每30個以上帖子表達反應／留言／分享一次,從不,從不,信任,信任,信任,信任,不信任,中立,中立,信任,信任,不信任,女,19,商學院,Year 2,學士
